"Kod";"Nazwa";"styczeń;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"styczeń;kurczęta patroszone - za 1kg;cena;2010;[zł]";"styczeń;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"styczeń;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"styczeń;margaryna - za 400 g;cena;2010;[zł]";"styczeń;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"styczeń;ziemniaki - za 1 kg;cena;2010;[zł]";"styczeń;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"styczeń;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"styczeń;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"luty;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"luty;kurczęta patroszone - za 1kg;cena;2010;[zł]";"luty;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"luty;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"luty;margaryna - za 400 g;cena;2010;[zł]";"luty;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"luty;ziemniaki - za 1 kg;cena;2010;[zł]";"luty;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"luty;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"luty;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"marzec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"marzec;kurczęta patroszone - za 1kg;cena;2010;[zł]";"marzec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"marzec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"marzec;margaryna - za 400 g;cena;2010;[zł]";"marzec;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"marzec;ziemniaki - za 1 kg;cena;2010;[zł]";"marzec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"marzec;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"marzec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"kwiecień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"kwiecień;kurczęta patroszone - za 1kg;cena;2010;[zł]";"kwiecień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"kwiecień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"kwiecień;margaryna - za 400 g;cena;2010;[zł]";"kwiecień;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"kwiecień;ziemniaki - za 1 kg;cena;2010;[zł]";"kwiecień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"kwiecień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"kwiecień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"maj;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"maj;kurczęta patroszone - za 1kg;cena;2010;[zł]";"maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"maj;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"maj;margaryna - za 400 g;cena;2010;[zł]";"maj;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"maj;ziemniaki - za 1 kg;cena;2010;[zł]";"maj;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"maj;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"czerwiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"czerwiec;kurczęta patroszone - za 1kg;cena;2010;[zł]";"czerwiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"czerwiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"czerwiec;margaryna - za 400 g;cena;2010;[zł]";"czerwiec;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"czerwiec;ziemniaki - za 1 kg;cena;2010;[zł]";"czerwiec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"czerwiec;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"czerwiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"lipiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"lipiec;kurczęta patroszone - za 1kg;cena;2010;[zł]";"lipiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"lipiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"lipiec;margaryna - za 400 g;cena;2010;[zł]";"lipiec;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"lipiec;ziemniaki - za 1 kg;cena;2010;[zł]";"lipiec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"lipiec;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"lipiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"sierpień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"sierpień;kurczęta patroszone - za 1kg;cena;2010;[zł]";"sierpień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"sierpień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"sierpień;margaryna - za 400 g;cena;2010;[zł]";"sierpień;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"sierpień;ziemniaki - za 1 kg;cena;2010;[zł]";"sierpień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"sierpień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"sierpień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"wrzesień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"wrzesień;kurczęta patroszone - za 1kg;cena;2010;[zł]";"wrzesień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"wrzesień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"wrzesień;margaryna - za 400 g;cena;2010;[zł]";"wrzesień;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"wrzesień;ziemniaki - za 1 kg;cena;2010;[zł]";"wrzesień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"wrzesień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"wrzesień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"październik;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"październik;kurczęta patroszone - za 1kg;cena;2010;[zł]";"październik;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"październik;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"październik;margaryna - za 400 g;cena;2010;[zł]";"październik;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"październik;ziemniaki - za 1 kg;cena;2010;[zł]";"październik;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"październik;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"październik;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"listopad;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"listopad;kurczęta patroszone - za 1kg;cena;2010;[zł]";"listopad;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"listopad;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"listopad;margaryna - za 400 g;cena;2010;[zł]";"listopad;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"listopad;ziemniaki - za 1 kg;cena;2010;[zł]";"listopad;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"listopad;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"listopad;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";"grudzień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2010;[zł]";"grudzień;kurczęta patroszone - za 1kg;cena;2010;[zł]";"grudzień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;[zł]";"grudzień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2010;[zł]";"grudzień;margaryna - za 400 g;cena;2010;[zł]";"grudzień;olej rzepakowy produkcji krajowej - za 1l;cena;2010;[zł]";"grudzień;ziemniaki - za 1 kg;cena;2010;[zł]";"grudzień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2010;[zł]";"grudzień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;[zł]";"grudzień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2010;[zł]";
0000000;"POLSKA";26,80;6,06;2,05;4,11;3,71;5,87;1,05;60,99;155,46;2,94;26,80;6,08;2,04;4,06;3,70;5,90;1,16;60,03;155,94;2,96;26,72;6,10;2,04;3,99;3,66;5,87;1,20;62,36;158,22;2,98;26,64;6,26;2,04;3,96;3,67;5,80;1,19;63,42;158,17;2,98;26,70;6,28;2,05;3,94;3,71;5,82;1,22;63,11;158,34;2,99;26,66;6,73;2,05;4,04;3,67;5,77;1,36;62,08;157,31;2,99;26,62;6,56;2,03;4,18;3,67;5,75;1,75;60,33;156,71;3,00;26,64;7,04;2,04;4,21;3,68;5,77;1,40;60,24;156,22;3,00;26,50;6,86;2,05;4,22;3,72;5,84;1,36;62,92;158,52;3,00;26,54;6,31;2,05;4,26;3,68;5,88;1,35;64,03;157,70;3,01;26,62;6,04;2,06;4,27;3,72;6,00;1,36;64,16;157,88;3,01;26,85;5,96;2,07;4,27;3,72;5,97;1,43;64,43;158,26;3,01;
0200000;"DOLNOŚLĄSKIE";28,95;6,00;1,76;4,20;3,15;6,24;1,03;61,49;157,53;3,20;28,69;6,06;1,75;4,06;3,16;6,40;1,13;61,13;158,76;3,24;28,90;6,17;1,75;4,03;3,07;6,41;1,16;62,67;176,22;3,30;28,81;6,30;1,74;3,97;3,16;6,26;1,19;64,47;172,24;3,30;28,82;6,25;1,76;3,98;3,10;6,22;1,23;64,60;170,71;3,30;28,79;6,79;1,76;4,01;3,14;6,25;1,35;62,48;170,71;3,32;28,50;6,47;1,76;4,10;3,06;6,09;1,61;60,05;168,12;3,32;28,70;7,03;1,79;4,17;3,09;6,13;1,40;60,39;168,12;3,32;28,19;6,88;1,76;4,18;3,20;6,21;1,37;68,60;174,37;3,32;28,41;6,27;1,76;4,17;3,15;6,36;1,37;69,68;166,88;3,32;28,49;5,90;1,77;4,15;3,15;6,48;1,39;69,86;164,00;3,32;29,02;5,83;1,77;4,22;3,25;6,37;1,46;67,27;164,00;3,32;
0400000;"KUJAWSKO-POMORSKIE";30,79;5,82;2,06;4,17;3,29;5,53;0,94;61,41;173,49;2,66;30,64;5,97;2,06;4,18;3,22;5,54;1,05;61,48;173,49;2,69;30,53;5,98;2,02;4,02;3,07;5,58;1,11;68,54;176,46;2,69;30,23;6,34;2,02;3,85;3,00;5,55;1,07;70,19;176,08;2,72;30,26;6,36;2,02;3,89;3,19;5,57;1,12;68,66;175,46;2,72;30,67;6,68;2,03;4,01;3,05;5,55;1,21;68,20;170,19;2,72;30,56;6,36;2,03;4,11;3,15;5,42;1,58;64,28;173,84;2,72;30,52;7,07;2,02;4,17;3,17;5,53;1,29;66,28;173,84;2,72;30,26;6,74;2,00;4,18;3,08;5,57;1,23;66,44;170,17;2,72;30,19;6,11;1,87;4,22;3,18;5,69;1,22;68,65;170,63;2,72;29,86;5,79;1,90;4,24;3,17;5,68;1,24;68,97;172,86;2,72;30,54;5,57;1,90;4,23;3,16;5,83;1,32;68,97;175,17;2,72;
0600000;"LUBELSKIE";25,55;6,08;2,17;4,00;3,68;5,60;1,01;67,22;167,46;2,35;25,64;6,23;2,17;4,04;3,65;5,68;1,11;66,98;167,46;2,35;25,61;6,30;2,17;4,05;3,69;5,57;1,16;71,75;166,62;2,35;25,40;6,24;2,17;4,07;3,69;5,80;1,19;74,82;158,92;2,36;25,23;6,43;2,14;4,12;3,63;5,81;1,22;74,71;162,69;2,37;25,38;6,92;2,16;4,15;3,26;5,48;1,31;74,71;157,00;2,37;25,38;6,90;2,15;4,23;3,31;5,71;1,93;69,79;156,58;2,38;25,06;7,05;2,17;4,28;3,32;5,63;1,45;71,71;157,69;2,37;25,17;6,99;2,13;4,25;3,31;5,56;1,43;74,87;161,25;2,37;25,33;6,44;2,14;4,21;3,39;5,65;1,37;75,36;162,31;2,37;25,54;6,26;2,16;4,28;3,48;5,84;1,35;75,53;158,85;2,37;25,93;6,30;2,16;4,22;3,26;5,68;1,40;76,06;161,92;2,37;
0800000;"LUBUSKIE";28,80;6,03;1,83;4,03;3,46;5,66;1,05;62,00;181,37;3,39;28,96;5,99;1,81;3,83;3,42;5,77;1,13;59,49;181,37;3,40;28,92;6,09;1,81;3,75;3,36;5,81;1,15;61,22;175,77;3,40;29,15;6,19;1,82;3,73;3,23;5,55;1,10;61,22;178,00;3,40;29,33;6,24;1,84;3,61;3,45;5,57;1,13;61,22;180,11;3,40;28,70;6,54;1,86;3,78;3,43;5,46;1,25;57,02;176,67;3,40;29,37;6,38;1,81;4,05;3,45;5,55;1,82;56,35;176,67;3,40;28,75;7,03;1,78;4,07;3,36;5,55;1,47;55,42;178,78;3,40;28,86;6,88;1,78;4,09;3,38;5,61;1,39;61,55;175,44;3,40;28,85;6,27;1,80;4,15;3,31;5,59;1,40;61,55;178,33;3,40;28,92;6,06;1,77;4,19;3,27;5,50;1,48;61,89;181,66;3,40;28,11;5,85;1,82;4,08;3,37;5,67;1,46;67,89;182,33;3,40;
1000000;"ŁÓDZKIE";24,06;5,89;1,90;4,13;3,71;6,04;0,92;60,40;156,81;2,71;24,78;5,87;1,92;4,04;3,66;6,11;1,10;59,05;156,81;2,71;24,60;5,97;1,92;3,92;3,63;6,08;1,13;58,19;161,44;2,71;24,42;6,22;1,92;4,03;3,58;5,93;1,11;60,54;162,08;2,72;24,11;6,17;1,91;4,05;3,69;5,93;1,11;60,54;164,58;2,72;24,16;6,94;1,91;4,13;3,63;5,97;1,22;58,19;164,58;2,72;24,25;6,42;1,91;4,18;3,66;5,87;1,60;57,48;164,58;2,72;24,23;7,10;1,89;4,17;3,61;6,07;1,39;57,48;164,58;2,72;24,42;6,87;1,89;4,23;3,96;6,18;1,25;58,02;171,99;2,73;24,27;6,15;1,90;4,25;3,86;6,18;1,25;58,34;171,99;2,73;24,41;5,80;1,95;4,32;3,95;6,32;1,27;58,23;179,14;2,73;24,76;5,83;1,95;4,33;3,91;6,27;1,35;58,16;179,85;2,73;
1200000;"MAŁOPOLSKIE";22,70;6,34;2,05;4,14;3,90;6,19;1,02;57,38;148,99;3,05;22,77;6,15;2,06;4,00;3,91;6,19;1,10;56,77;149,61;3,12;22,77;6,22;2,06;3,98;3,96;6,10;1,09;57,00;149,61;3,13;22,47;6,35;2,06;4,01;4,03;6,04;1,10;57,35;146,76;3,15;22,61;6,46;2,07;3,91;4,14;6,07;1,19;57,35;146,76;3,17;22,61;6,78;2,07;4,02;4,13;6,08;1,41;55,65;147,53;3,18;22,68;6,64;2,08;4,05;4,20;6,06;1,72;53,96;146,68;3,18;22,71;6,93;2,07;4,18;4,24;6,13;1,35;53,73;150,07;3,18;22,83;6,94;2,11;4,13;4,30;6,28;1,44;54,62;154,68;3,20;22,83;6,48;2,12;4,21;4,39;6,33;1,44;55,73;155,84;3,20;22,77;6,18;2,12;4,12;4,24;6,32;1,41;55,73;155,84;3,20;23,03;6,06;2,13;4,23;4,37;6,35;1,47;54,12;155,84;3,20;
1400000;"MAZOWIECKIE";24,72;6,30;2,18;4,15;3,87;6,07;1,22;66,75;166,35;2,84;24,64;6,33;2,16;4,16;3,81;6,13;1,36;62,75;166,35;2,85;24,70;6,36;2,22;4,24;3,96;6,06;1,40;66,44;167,77;2,86;24,61;6,45;2,19;4,12;3,92;5,96;1,41;66,21;168,19;2,86;24,66;6,50;2,22;4,06;3,93;5,95;1,43;66,50;168,19;2,87;24,86;6,96;2,23;4,27;3,98;5,85;1,55;66,33;167,77;2,89;24,80;6,75;2,20;4,39;4,00;5,82;2,15;64,71;165,52;2,89;24,74;7,25;2,20;4,33;4,00;5,84;1,51;62,10;165,95;2,89;24,86;7,13;2,24;4,43;3,98;6,09;1,41;65,76;169,31;2,89;24,84;6,63;2,23;4,49;3,90;6,06;1,36;65,76;169,31;2,91;25,13;6,27;2,27;4,55;4,01;6,20;1,38;67,12;169,79;2,91;25,25;6,27;2,25;4,52;4,00;6,10;1,42;67,52;167,89;2,90;
1600000;"OPOLSKIE";26,50;5,90;1,85;3,65;3,87;5,99;1,03;75,84;125,43;2,79;26,72;5,63;1,85;3,43;4,01;5,79;1,19;71,60;125,43;2,79;26,72;5,68;1,85;3,39;4,01;5,85;1,20;71,60;125,43;2,79;26,72;6,03;1,85;3,39;3,91;5,82;1,21;77,31;131,85;2,79;27,21;5,86;1,85;3,41;3,88;5,82;1,24;77,31;131,85;2,86;27,27;6,36;1,83;3,41;3,87;5,84;1,44;73,46;131,85;2,83;26,78;6,05;1,86;3,66;3,74;5,81;1,68;72,04;131,85;2,85;26,81;6,85;1,90;3,72;3,83;5,89;1,47;69,61;131,85;2,85;26,40;6,59;1,89;3,68;3,67;5,87;1,44;69,61;131,85;2,87;26,40;6,14;1,90;3,67;3,40;5,95;1,47;75,90;131,85;2,87;26,53;5,89;1,90;3,61;3,45;6,14;1,49;78,74;131,85;2,87;26,99;5,66;1,93;3,62;3,69;6,15;1,55;74,64;131,85;2,87;
1800000;"PODKARPACKIE";24,71;6,09;2,07;3,94;4,28;5,72;0,97;56,30;148,42;3,09;24,46;6,30;2,08;3,84;4,30;5,81;1,05;53,78;149,75;3,16;24,44;6,33;2,07;3,95;4,13;5,77;1,08;54,26;150,17;3,24;24,48;6,31;2,08;3,85;4,10;5,72;1,09;54,26;153,83;3,26;24,43;6,35;2,07;3,88;4,17;5,72;1,14;53,93;153,83;3,26;24,98;6,86;2,07;3,96;4,19;5,72;1,35;55,76;153,83;3,26;24,56;6,72;2,05;4,07;4,09;5,77;1,57;53,34;155,25;3,27;24,30;7,35;2,07;4,08;4,10;5,77;1,40;53,34;156,08;3,27;23,66;7,01;2,14;4,11;4,22;5,87;1,43;53,34;156,92;3,27;23,89;6,39;2,14;4,08;4,15;5,73;1,45;53,38;156,92;3,27;23,72;6,17;2,16;4,13;4,15;5,96;1,44;53,38;157,36;3,27;24,17;6,02;2,16;4,06;4,24;6,12;1,52;53,38;162,08;3,27;
